Character,Dialogue,Season,Episode
Monica,umm excuse me we switched apartments you cant eat are food,4,13
Joey,holding a turkey leg theres gravy,4,13
Monica,if you have the big apartment you have to deal with people coming over,4,13
Monica,what are you doing,4,13
Joey,i think i left a donut up here,4,13
Ross,hey,4,13
Phoebe,hey,4,13
Joey,hey,4,13
Phoebe,ooh how was kathys play,4,13
Ross,well kathy gets halfnaked and simulates sex with a real good,4,13
Chandler,yeah its like someone literally wrote down my worst,4,13
Phoebe,thats a good idea for a business,4,13
Chandler,im totally screwed okay they are gonna be hot and heavy on,4,13
Joey,to ross thatthat is a good trick,4,13
Chandler,all right look look what am i gonna do,4,13
Joey,chandler look theyre actors theyre there to do a job just,4,13
Ross,ohoh alec baldwin and kim basinger,4,13
Joey,tom cruise and nicole kidman,4,13
Ross,yeah,4,13
Phoebe,hey mel gibson and clint eastwood,4,13
Ross,theyre not a couple,4,13
Phoebe,ohokay i get the game now,4,13
Joey,okay look look let me ask you a question when they were doing it on,4,13
Ross,oh yeah,4,13
Joey,well okay so then youre fine the rule is when two actors are,4,13
Chandler,really,4,13
Joey,look you guys have been to every play ive ever been in have i ever,4,13
Ross,no,4,13
Joey,noooo,4,13
Chandler,so uh man are you gonna go to the play with me tonight,4,13
Ross,yknow what i dont know how comfortable i am going to see how,4,13
Chandler,yeah i know but,4,13
Ross,oh nonono im there,4,13
Monica,entering hey,4,13
Joey,hey mon want some pancakes,4,13
Monica,you made pancakes,4,13
Joey,yep grab a plate,4,13
Monica,okay she does so and starts to walk towards joey to receive her,4,13
Joey,nono stay right there monica stops and joey flips her a pancake which,4,13
Chandler,okay okay but dont worry because we also have cereals,4,13
Joey,listen also were uh were watching the game here saturday,4,13
Ross,oh yeah,4,13
Monica,oh i was thinking about having people over for the game,4,13
Joey,oh yeah whos playing,4,13
Monica,the players,4,13
Ross,somebody seems to be missing being the hostess,4,13
Monica,laughs please its a relief is what it is is what it is,4,13
Joey,all right pheebs stick out your plate,4,13
Phoebe,oh joey flips the pancake and phoebe catches it and throws it on her,4,13
Rachel,on the phone monica im quitting i just helped an 81 year old,4,13
Rachel,hi,4,13
Rachel,hi im rachel green what can i do for you joshua,4,13
Rachel,oh im so sorry,4,13
Rachel,well at least thats a great suit,4,13
Rachel,okay,4,13
Rachel,nono that wasnt me to joshua well we should get started let,4,13
Rachel,ohoh sorry its this way its this way motions to the,4,13
Chandler,im right right there was like no chemistry between them,4,13
Ross,all right lets not jump to any conclusions all right there was,4,13
Chandler,come on it was like cousins having sex up there,4,13
Ross,here she comes dont say a word okay just be cool dont,4,13
Ross,hey,4,13
Ross,oh absolutely chandler mumbles something,4,13
Chandler,oh i loved the play you were great and nick ditto clearly,4,13
Ross,okay i walks away,4,13
Chandler,oh come on it was so obvious there was no chemistry between you two,4,13
Chandler,yknow ii could see how this could happen yknow youre,4,13
Chandler,well you can understand given how we started,4,13
Chandler,well that is what happened and i dont even see you denying,4,13
Chandler,yeah well dont expect that to happen anytime soon,4,13
Rachel,i have the best job in the entire world the most adorable guy came over,4,13
Phoebe,rachel has a new doll,4,13
Rachel,oh i wish he was a doll then i could get a rachel doll and bump them,4,13
Ross,uh hello,4,13
Rachel,hie,4,13
Phoebe,ooh what do i smell,4,13
Joey,i dont know it smells good,4,13
Monica,fresh cookies hot from the oven,4,13
Phoebe,ooh they all go over to her apartment,4,13
Monica,please have some,4,13
Ross,oh yumm,4,13
Monica,yeah ive just been fiddling around in here making delicious,4,13
Joey,holding a magazine wow the new playboy,4,13
Monica,yeah its just something i picked up,4,13
Ross,cookies and porn youre the best mom ever,4,13
Phoebe,what what,4,13
Rachel,well it was just something josh said about vnecks but you had to be,4,13
Ross,yeah how does jason look in a vneck,4,13
Rachel,its joshua,4,13
Ross,oh whatever laughs and gives joey the thumbs up heading back to his,4,13
Monica,wait wait this isnt takeout,4,13
Phoebe,getting up well i hate to eat and run but,4,13
Monica,no wait please dont go ive got porn for you too,4,13
Phoebe,yeah i dont need it,4,13
Monica,people are supposed to wanna hang out here,4,13
Rachel,why honey what is the big deal,4,13
Monica,im the hostess not those guys im always the hostess i,4,13
Phoebe,well why did you make like a whole big thing out of yknow everyone,4,13
Monica,cause they took our apartment i wanted to punish them but,4,13
Phoebe,if you wanted to punish them you shouldve just made them hang out,4,13
Rachel,yeah thats true,4,13
Monica,all right then when im done with this place its gonna be,4,13
Phoebe,oh are we gonna trash that place,4,13
Chandler,steps he opens the door to his apartment to ross and joey looking at,4,13
Ross,so you were right,4,13
Chandler,i confronted her and she didnt deny it pause i dont,4,13
Ross,chandler,4,13
Rachel,chandler what did she say,4,13
Phoebe,wait a minute,4,13
Joey,come here,4,13
Monica,are you sure,4,13
Chandler,well i may be drunk but i know what she said then i went over to beefsteak,4,13
Rachel,beefsteak charlies,4,13
Chandler,yes see you and i have always been likemotions that they think,4,13
Rachel,whoops starts to go into chandler and joeys oh hey do you,4,13
Monica,nah i got it,4,13
Rachel,ooh i just feel bad i never vacuum she goes into chandler and,4,13
Rachel,hi,4,13
Rachel,so i was with joshua for an hour today and he has not asked me out,4,13
Phoebe,why dont you ask him out,4,13
Joey,oh yeah totally thats such a turnon,4,13
Rachel,really it doesnt seem desperate,4,13
Joey,ohooh thats the turnon,4,13
Phoebe,he just got a divorce right,4,13
Rachel,hmmmmm,4,13
Phoebe,so hes probably really nervous around women yknow maybe you,4,13
Rachel,yeah but ive never asked a guy out before,4,13
Phoebe,shocked youve never asked a guy out,4,13
Rachel,no have you,4,13
Phoebe,thousands of times that doesnt make me sound too good does it,4,13
Rachel,i dont even know how i would go about it,4,13
Joey,ohohohoh how i do it is i look a woman up and down and say,4,13
Phoebe,oh please,4,13
Joey,to phoebe hey how you doin,4,13
Rachel,you know what im gonna do that im gonna call him up and,4,13
Phoebe,ive never done that,4,13
Rachel,ohh god i just got so nervous that he would say no,4,13
Joey,well you gotta give him something that he cant say no too like uh,4,13
Rachel,really you think that will work,4,13
Joey,absolutely and if it doesnt can i get the extra ticket,4,13
Joey,what the heck is that,4,13
Chandler,did she call,4,13
Phoebe,no sorry,4,13
Chandler,all right maybe i should call her,4,13
Joey,no forget her man you dont need her you dont need that,4,13
Ross,hes right what she did was unforgivable,4,13
Chandler,well yeah but yknow whatwhat if i was wrong,4,13
Ross,how might you be wrong,4,13
Chandler,well yknow what if she didnt actually sleep with the guy,4,13
Joey,dude tell me she actually told you this,4,13
Chandler,she did not have to tell me i saw the play and there was no heat,4,13
Ross,thats all youre basing this on,4,13
Chandler,thats not backing me up look you said with the offstage and,4,13
Joey,whoawhoa thatthat was just a theory theres a lot of theories,4,13
Chandler,oh my god,4,13
Rachel,would you like to go to a basketball game with me tries again you,4,13
Rachel,oh well as a single woman who is available i think you look great,4,13
Rachel,yep oh yeah look you great she puts her arm in his and checks how,4,13
Rachel,great,4,13
Rachel,sure,4,13
Rachel,yeaheahha,4,13
Rachel,oh well you dont want to do that now,4,13
Rachel,okay,4,13
Rachel,basketball,4,13
Rachel,i uh i have two tickets to the knicks game tonight if youre,4,13
Rachel,really,4,13
Chandler,hey i just i just wanted to come over toto say that im sorry,4,13
Chandler,yeah i know ii wish i had too but yknow ii think this is a,4,13
Chandler,yeah well i think our second fight is going to be a big one,4,13
Joey,okay for next time what do you say,4,13
Rachel,i have an extra ticket an extra ticket not two tickets i have an,4,13
Ross,so the first time you ask a guy out hehe turns you down,4,13
Rachel,he didnt turn me down hes at the game isnt he i got,4,13
Monica,entering okay its ready come on,4,13
Joey,whats ready,4,13
Monica,just come,4,13
Ross,oh my god,4,13
Rachel,wow monica,4,13
Phoebe,great,4,13
Ross,this is beautiful,4,13
Phoebe,oh did youwhat did youdid you work for two days straight,4,13
Monica,pretty much to joey so what do you what do you think of the floor,4,13
Joey,i dont know it looks the same,4,13
Monica,you used to have carpet,4,13
Joey,oh yeah,4,13
Monica,so i made snacks please just hang out okay im just gonna rest,4,13
Ross,look mon do you want us to uh come back later,4,13
Monica,oh nonono stay stay stay just keep talking im always the,4,13
Ross,hey,4,13
Joey,howd it go,4,13
Chandler,well she wasnt sleeping with him,4,13
Phoebe,oh good,4,13
Chandler,she is now,4,13
Ross,what are you saying,4,13
Chandler,im saying that she is a devil woman yknow i mean,4,13
Phoebe,how how is your fault,4,13
Chandler,because ii shouldve called yknow if i had just called,4,13
Rachel,honey this is not your fault just because you guys had a fight it,4,13
Ross,well ifif she thought they were on a break,4,13
Rachel,really,4,13
Rachel,yes i will absolutely she takes out his license and her license and,4,13
Phoebe,holding a lure so now what is this now,4,14
Joey,guggly worm,4,14
Phoebe,laughs and picks up another lure and this,4,14
Joey,glowpop giggly jammer,4,14
Phoebe,laughs harder you make it so funny,4,14
Monica,not wanting to be left out picks up something hey umm whats,4,14
Joey,examining it ohh a hunk of sandwich from last year monica drops the,4,14
Ross,pretend fishing in the living room ohh gellers got one hooked,4,14
Joey,going over and picking up the rod thats all right hey you guys,4,14
Chandler,you dont have to stop having fun just because im here,4,14
Monica,hey joey i dont think that you should leave chandler alone i,4,14
Joey,look theres nothing i can do for him right now hes still in,4,14
Monica,whats phase two,4,14
Joey,gettin drunk and going to a strip club,4,14
Rachel,how does going to a strip club help him better,4,14
Ross,because there are naked ladies there,4,14
Joey,which helps him get to phase three picturing yourself with other women,4,14
Ross,there are naked ladies there too,4,14
Joey,yeah,4,14
Chandler,opening the bathroom door and kicking out the chick and duck would,4,14
Rachel,umhmm joshua turns to look in the mirror and leaves rachel staring at,4,14
Rachel,yeah,4,14
Rachel,oh okay uhh well lets see grabs his hand youre,4,14
Rachel,yeah okay two larges coming right up,4,14
Rachel,yes,4,14
Rachel,sure you got it great,4,14
Rachel,me fledermaus great i reallymotions to joshua,4,14
Rachel,so she puts her hands in his totally forgetting about the gloves and,4,14
Rachel,ohh right right sorry ill be right back,4,14
Rachel,oh,4,14
Rachel,no nothing,4,14
Rachel,yeah that would be great,4,14
Rachel,shocked well ii guessi,4,14
Rachel,yeah great you betcha,4,14
Rachel,what,4,14
Rachel,oh oh right,4,14
Rachel,oh yay,4,14
Chandler,yknow i cant believe kathy did this too me i really,4,14
Ross,come on man justjust take the sweats off okay just take em off,4,14
Joey,entering heyhey,4,14
Ross,hi,4,14
Phoebe,hey,4,14
Ross,catch any big fish phoebe ross and monica all go over to him,4,14
Joey,oh my god you guys have no idea,4,14
Monica,you stink,4,14
Ross,are you kidding,4,14
Joey,yeah three days on the lake without a shower plus i fell in that big,4,14
Ross,he hasnt gotten out of that chair in two days,4,14
Joey,goes over to chandler hey buddy hows it going,4,14
Joey,to the rest of the gang hey see that he just needed his pal to come,4,14
Rachel,entering hey,4,14
Ross,hey,4,14
Rachel,hey monica,4,14
Monica,uhoh whats the matter,4,14
Rachel,ohh its joshua invited me to this fancy club opening tonight,4,14
Monica,i dont know sweetie,4,14
Rachel,no help me,4,14
Monica,i cant i have to work,4,14
Rachel,phoebe,4,14
Phoebe,i would but i get my morning sickness in the evening,4,14
Rachel,ugh,4,14
Phoebe,unless she wants to spend the night holding my hair back for me,4,14
Rachel,ohh gosh you guys come on this isi have to meet joshua this,4,14
Monica,no chandlers still in phase one and joeys that thing you,4,14
Rachel,ohh realises that ross is in the room hi,4,14
Ross,hi,4,14
Rachel,so,4,14
Ross,no,4,14
Rachel,ohhhh come on,4,14
Monica,i think shes here,4,14
Rachel,no wait waitwait ross please,4,14
Ross,you want me to take some girl ive never met to the opera so you can,4,14
Monica,looking out the peephole ohh shes looking down the hall oh,4,14
Rachel,ill be right there to ross okay ross please come on i,4,14
Ross,all right ill do it,4,14
Rachel,oh thank you thank you thank you thank you monica opens the door,4,14
Rachel,im rachel green,4,14
Rachel,theres been a teenyteeny change in plans it turns out that,4,14
Rachel,oh well no i,4,14
Monica,iii think you look great,4,14
Rachel,ill get her,4,14
Ross,please hurry,4,14
Phoebe,dont you just love the way they talk,4,14
Phoebe,ohh,4,14
Monica,what,4,14
Phoebe,it kicked i think the baby kicked,4,14
Monica,oh my god,4,14
Phoebe,oh no wait oh no the elastic on my underwear busted,4,14
Joey,running from his bedroom oh my god i overslept i was supposed to be on,4,14
Monica,oh wait joey you cant go like that you stink,4,14
Joey,look i know i feel asleep before i could shower and now i dont have,4,14
Monica,yeah run ten blocks thatll help the smell,4,14
Rachel,heywhoa slow down gets a whiff of him no keep moving joey,4,14
Monica,so how did it go with joshua last night,4,14
Rachel,well i didnt see joshua last night but i did punch a girl,4,14
Monica,what,4,14
Phoebe,why,4,14
Rachel,the whole night was horrible it was pouring down rain and when i got,4,14
Phoebe,ohh so did you get to meet her,4,14
Rachel,no there is no rachel greep but then this other girl overheard us and,4,14
Monica,so you hit her in the face,4,14
Rachel,no she was already in but then this big bitch behind me tried to steal,4,14
Phoebe,going over to comfort her aww pheebs,4,14
Rachel,honey thats youre name,4,14
Phoebe,thats short for phoebe i thought that was just what we called,4,14
Monica,hey youre wearing pants,4,14
Chandler,thats right where are the guys im ready to get drunk and,4,14
Monica,its 930 in the morning,4,14
Chandler,they got a breakfast buffet,4,14
Monica,hello listens oh hey ross,4,14
Chandler,ooh let me talk to him,4,14
Monica,ohoh my god,4,14
Chandler,well can i just,4,14
Monica,to chandler shh on phone wait what,4,14
Chandler,shes shhing me its my phone and shes shhing me,4,14
Phoebe,shhh please whats he saying,4,14
Monica,hes with emily at a bed and breakfast in vermont,4,14
Phoebe,what oh my god,4,14
Rachel,what who the hell is emilyrealises noooo,4,14
Rachel,theyre in vermont how could this happen she waves her arms,4,14
Chandler,ow,4,14
Rachel,howhow did end up in vermont with that awful witch she hits,4,14
Chandler,maybe she doesnt hit him all the time,4,14
Ross,when we first met her she was soaking her feet were wet who,4,14
Ross,ive gotta go theres a deer just outside eating fruit from the,4,14
Monica,he had to go theres a deer just outside eating fruit from the,4,14
Rachel,i dont get this she was horrible she hits chandler yet again,4,14
Chandler,okay im going to go stand over there points and moves into,4,14
Monica,why do you care so much anyway,4,14
Rachel,i dont care all right yknow what im just upset that,4,14
Monica,well when you first met barry you flitted off to vail,4,14
Rachel,oh yknow would you just for once not remember,4,14
Chandler,so yknow uh whens he getting back,4,14
Monica,a couple of days,4,14
Chandler,yknow i knew something like this was going to happen he,4,14
Monica,what are you doing chandler you cant just go back a phase,4,14
Chandler,yes you can youre thinking about time you cant go back,4,14
Phoebe,well look why dont you just why dont you do your phase,4,14
Monica,yeah come on we can be guys,4,14
Chandler,laughs no you cant,4,14
Phoebe,come on let us be guys maybe we want to be guys,4,14
Chandler,you dont want to be guys youd be all hairy and,4,14
Phoebe,yknow you you just stop being such a wuss and get those off and,4,14
Chandler,okay starts to cry,4,14
Phoebe,im sorry goes and hugs him,4,14
Joey,rushing in hey joey tribbiani im here im here,4,14
Joey,look at that charlton heston eating a liquorice whip,4,14
Joey,trying to act like hes not the one that stinks whoa yeah what,4,14
Joey,yknow i can see why you think that but ah actually you know who,4,14
Joey,nono its uh its heston,4,14
Joey,yeah the man wreaks smells like he went on a three day fishing trip and,4,14
Joey,really a shower huh and uh whichwhich room might that be,4,14
Joey,interesting,4,14
Monica,coming back to the stage and sitting next to chandler okay ive,4,14
Chandler,no thanks mom,4,14
Phoebe,oh no umm hi thatthat you have to put that out cause,4,14
Phoebe,haha its not my baby hahaha he leaves,4,14
Monica,very good getting up and sliding a one into the dancers hot,4,14
Phoebe,doing the same i really really enjoyed it very exotic,4,14
Rachel,joining them well i just checked our messages and joshua didnt,4,14
Phoebe,come on look where you are,4,14
Monica,to the waitress when you get a sec another round of daiquiris,4,14
Phoebe,remember a virgin for me please,4,14
Monica,oh and dont let me leave without getting the name of that carpet,4,14
Chandler,ahh come on yknow whatyknow what i think im,4,14
Phoebe,well if you think it will help,4,14
Chandler,no that was a test in a couple of hours im gonna get really,4,14
Phoebe,you should how is she,4,14
Chandler,ohhh,4,14
Monica,i think somebody needs another lap dance motions for one,4,14
Joey,how ya doin,4,14
Joey,i guess you wouldnt believe me if i said i was kurt douglas huh,4,14
Joey,nonono no no wait you see im an actor joey tribbiani,4,14
Joey,yeahyeah im one of the cops that wont work with you,4,14
Joey,yeah,4,14
Joey,oh nonono you dont understand,4,14
Joey,oh yeah yeah,4,14
Joey,yes sir yes sir imimhe starts to leave,4,14
Joey,yeah oh yeah,4,14
Monica,so we did okay at the strip club right,4,14
Chandler,oh yeah that was great thanks to you the hottest cocktail waitress,4,14
Rachel,entering i cant believe it he still hasnt called,4,14
Phoebe,who josh,4,14
Rachel,its joshua,4,14
Monica,what he doesnt like josh,4,14
Rachel,no i dont,4,14
Chandler,all right well im gonna put my sweats back on,4,14
Phoebe,oh no wait wait okay yknow what you were right you were,4,14
Chandler,yeah,4,14
Phoebe,and do you know what girls are really good at,4,14
Chandler,stripping,4,14
Phoebe,no listening sit yknow maybe it would just really really help,4,14
Rachel,yeah come on whats going in on in there pats his chest,4,14
Monica,yeah and yknow if you wanna cry thats okay too,4,14
Chandler,okay look im gonna have to ask you all to leave,4,14
Monica,come on chandler,4,14
Chandler,look forget it we tried but phase three is a lost cause okay,4,14
Monica,they really were pretty werent they rachel and phoebe both,4,14
Phoebe,yeah i really liked that fighter pilot one,4,14
Monica,oh candy she was so spunky,4,14
Phoebe,yeah,4,14
Monica,yknow i think if i were going to be with a woman chandler is,4,14
Rachel,see i dont know for me it would have to chantal,4,14
Monica,oh chantal,4,14
Rachel,oh my goodness she had the smoothest skin i mean when i stuck that,4,14
Chandler,jumping up phase three i just achieved phase three,4,14
Monica,really,4,14
Chandler,i am totally picturing you with all those women,4,14
Monica,thatsthats not phase three,4,14
Chandler,well im there too,4,14
Rachel,well are we all together like in a group,4,14
Chandler,stop it youre killing me i think i just moved on to phase,4,14
Phoebe,oh what is that what is that,4,14
Chandler,where i dont want to have a relationship ever i just want to,4,14
Chandler,come on let me see that smile,4,14
Joey,i dont wanna,4,14
Chandler,please,4,14
Joey,i wanted to go to the strip club,4,14
Chandler,i know i know but youre gonna have plenty of chances there,4,14
Joey,yeah all right ross enters,4,14
Monica,hey,4,14
Ross,hey,4,14
Phoebe,heyooh so how was vermont,4,14
Ross,emily isincredible i mean therethere are no words to describe it,4,14
Rachel,oh hey,4,14
Ross,hey you were so right,4,14
Rachel,what,4,14
Ross,uh what you said about us being in a place where we could finally be,4,14
Rachel,oh hmm,4,14
Ross,i mean i ii admit ii wasnt quite there yknow i mean the,4,14
Rachel,joshua,4,14
Ross,joshuaguy at that club dancing and having a good time the thought,4,14
Rachel,yeah i,4,14
Ross,but now im there im totally there imim finally,4,14
Rachel,oh thank goodness,4,14
Ross,yeah andand thank you for emily,4,14
Rachel,oh no problem im so glad i could help happy for you she,4,14
Ross,happy for you he punches her back,4,14
Rachel,no happy for you hits him harder,4,14
Chandler,all right ladies heres what were gonna do points to a,4,14
Phoebe,ii wanna be with her points to the stripper next to her i like her,4,14
Chandler,oh thats fine go with your instincts go with your instincts,4,14
Monica,wait now what am i doing again,4,14
Chandler,come on would you please pay attention i could wake up at any,4,14
Rachel,nonono that not joshua,4,14
Chandler,what do you want from me ive never met the guy so anyway,4,14
Chandler,yknow i cannot believe im getting my nails done  and you,4,15
Rachel,chandler theres a guy right over there points to the counter,4,15
Chandler,thats a mailman thats our mailman waves to the,4,15
Rachel,chandler dont worry this doesnt make you any less of a,4,15
Chandler,hey you know who used to have nails like that,4,15
Rachel,hmm,4,15
Monica,joey let me ask you a question what does this light switch do,4,15
Joey,ohh nothing,4,15
Monica,didnt it drive you crazy to have a switch and not know what it,4,15
Joey,i know what it did nothing,4,15
Monica,they wouldnt have put it there if it didnt do something how,4,15
Joey,like this shrugs,4,15
Rachel,well heres another question for ya uhh do you know what that,4,15
Joey,sure it flushes it,4,15
Rachel,okay good now that since you know when you come over would you mind,4,15
Chandler,entering with janice in tow hello,4,15
Joey,hey sees janice ah janice screams in surprise,4,15
Rachel,guess who we ran into today,4,15
Monica,janice,4,15
Chandler,isnt this amazing,4,15
Monica,how have you been,4,15
Phoebe,ohhh wow,4,15
Joey,and there it is,4,15
Chandler,okay bye,4,15
Chandler,bye,4,15
Chandler,bye,4,15
Chandler,bbye,4,15
Chandler,bye finally closes the door on her after its closed i,4,15
Phoebe,what i thought you were crazy about her,4,15
Chandler,yeah i know but all of those little annoying things she did before,4,15
Joey,so what are you doing bringing her here theres people here,4,15
Chandler,dont worry about it im taking care of it tonight,4,15
Rachel,you are not you have never been able to break up with her,4,15
Chandler,standing in the door of the fridge well i dont have to break,4,15
Joey,yeah try sticking it in the freezer for 20 minutes they all look around,4,15
Ross,no its really not that bad i mean ii for one feel perfectly,4,15
Ross,help help help help,4,15
Ross,oh hey that was a good one huh imitating himself help help,4,15
Ross,oh liam so uh what were you guys playing soccer or somethingor,4,15
Ross,whats ah whats so funny about that,4,15
Ross,well we didnt have freedom here until 1776 either so,4,15
Ross,cheers,4,15
Chandler,yes ii know that you do but i think one of the reasons people were,4,15
Chandler,laughs okay we have to talk im just getting out of a very,4,15
Chandler,right i just think that this is happening too soon,4,15
Chandler,i hear ya pause but unfortunately my company is transferring me,4,15
Chandler,no no not paris,4,15
Chandler,okay could you just stop talking for a second thinks yemen,4,15
Chandler,i dont know exactly,4,15
Chandler,but i do know that its some time tomorrow,4,15
Monica,done,4,15
Phoebe,yep,4,15
Rachel,entering with joey hey,4,15
Joey,hey whats up,4,15
Monica,this switch thing has been driving me crazy so i turned it off and,4,15
Joey,to rachel i bet i stopped listening before you did,4,15
Rachel,yknow youyou also couldve used uh lamps and then,4,15
Monica,yeah well im using noise okay all right so is everybody,4,15
Rachel,its coming from joey,4,15
Phoebe,oh my god thats so freaky turn him off,4,15
Phoebe,ooh hey could we put on the news i think it might be raining,4,15
Ross,oh just hold on a second im watching this rugby thing on espn,4,15
Joey,dude youre not even man enough to order the channel that,4,15
Ross,shocked hey,4,15
Phoebe,whispering to ross janice,4,15
Chandler,yknow uh you didnt really have to help me pack,4,15
Chandler,well ii thought i did but ii guess i did not,4,15
Joey,heyhey whats going on,4,15
Chandler,oh im packing yknow imim packing,4,15
Joey,thanks for telling me,4,15
Chandler,im only going to pretend im moving to yemen its the,4,15
Joey,ohhhh good one and yemen that actually sounds like a real country,4,15
Phoebe,yeah i know i do that cause it makes me look taller,4,15
Chandler,to janice okay to joey joey trade lives with me,4,15
Joey,nope to ross man look at this ross i cant believe you said,4,15
Ross,hey i can handle it all right,4,15
Rachel,please ross youyou got hurt playing badminton with my dad,4,15
Ross,thats causecause youre moms dog keptkept,4,15
Joey,pointing to the tv okay ross looklooklooklook look right here,4,15
Ross,and is a hum kinda like a scruddle,4,15
Joey,ross laughs theyre gonna kill you,4,15
Phoebe,well why are you doing this anyway,4,15
Ross,well you shouldve seen the guy that she used to go out with i,4,15
Phoebe,youre kidding and he plays rugby thats so funny,4,15
Ross,anyway she thought the very idea of me playing rugby with him was,4,15
Rachel,starts laughing ross stares at her im sorry im sorry,4,15
Joey,all right come on look ross can take care of himself its not like,4,15
Chandler,from his bedroom thanks,4,15
Ross,look dont worry about me okay ill just stay real energetic,4,15
Rachel,oh well maybe there was a dog lookin at him,4,15
Joey,rossrossrossross stay away from that guy points and that guy,4,15
Ross,they dont look any bigger than me,4,15
Joey,well maybe thats because youre closer to you so you look,4,15
Ross,all right,4,15
Phoebe,to the player hi,4,15
Phoebe,whoa the player leaves and to joey i kinda liked it,4,15
Ross,okay i know what i have to do ive got to go red ross joey and,4,15
Joey,i totally dont know what youre talking about,4,15
Ross,come on the time we were all waiting in line for dances with wolves and,4,15
Joey,no,4,15
Ross,youll see,4,15
Ross,joey,4,15
Rachel,youarenot going to believe it joshua came into work today,4,15
Monica,he asked you out,4,15
Rachel,no but i was showing him some cufflinks and i felt his pulse,4,15
Monica,saucy,4,15
Rachel,refers to the table what are these,4,15
Monica,electrical plans for the building,4,15
Rachel,okay okay okay should i be scared,4,15
Monica,i know that switch does something okay soso i went down to city hall,4,15
Rachel,wow if only more people knew,4,15
Chandler,yknow you really didnt have to take me to the airport,4,15
Chandler,well were really not that close pause okay so i guess this,4,15
Chandler,okay then i guess its just wait here then hands her the sign,4,15
Chandler,oh nonono no no no no i just i just need a pretend ticket,4,15
Chandler,what would you give to a kid if he wanted a ticket to play with,4,15
Chandler,no all right yknow what shes points to janice gonna,4,15
Chandler,to the ticket agent american express,4,15
Phoebe,no offence but yknow sometimes its hard to understand you,4,15
Ross,did you see me i was pretty good huh that is one fun game,4,15
Ross,to emily hey could you do me a favour could you just grab me a bottle,4,15
Ross,thanks when shes gone he collapses into joey ii think im,4,15
Phoebe,oh poor baby,4,15
Ross,to phoebe tell my son that i love him emily returns with the water,4,15
Ross,whines no thats not true,4,15
Phoebe,shes right you have to stop,4,15
Ross,what no no im not stopping im red ross,4,15
Joey,dude if you go back out there youre gonna be dead ross,4,15
Ross,i dont care i am not quitting i insist on finishing this game,4,15
Ross,no god no that is no place for a woman those guys will grab anything,4,15
Ross,i like that,4,15
Ross,huh,4,15
Ross,all right bad ankle got it,4,15
Ross,yeah i can use that trick hip no cup okay okay,4,15
Ross,butbut liams on my team,4,15
Ross,im gonna go get him okay i am going back in squeals like a,4,15
Joey,the red ross okay,4,15
Rachel,hey,4,15
Monica,hi,4,15
Rachel,noticing a bunch of pictures around the door that werent there,4,15
Monica,oh just some pictures i made and hung up i thought theyd,4,15
Monica,nonono no,4,15
Monica,i know that theres no hole there i just really liked that,4,15
Rachel,oh my god look at this,4,15
Monica,okay but there is a wire back there i mean that switch is,4,15
Rachel,i dont care the wires have come loose in your head,4,15
Monica,i just thought that if i could follow the wire i could find out what it,4,15
Rachel,and did you,4,15
Monica,no it disappears back there behind that baseboard for a minute there,4,15
Monica,but it didnt say hello to mrs chatracus,4,15
Rachel,oh my god,4,15
Rachel,hello mrs chatracus,4,15
Phoebe,now are you sure you dont want to go see a doctor,4,15
Ross,oh no thatthatll just bring me down this was great i mean iii,4,15
Joey,yeah sure,4,15
Ross,no not you emily gets it,4,15
Joey,uhh look your eyes still popping out a little im gonna go,4,15
Phoebe,ooh ice i am so in the mood for ice they go and get the coffee and,4,15
Ross,oh i kinda was wasnt i,4,15
Ross,i made a man twice my size cry i mean i havent done that since i,4,15
Ross,please are you kidding ii hurt three huge men i gave a guy a bloody,4,15
Ross,no no im serious thank you,4,15
Ross,its worth the pain she goes to hug him again yknow what,4,15
Chandler,well ii guess i gotta go,4,15
Chandler,well just until we find an energy source to replace fuel,4,15
Chandler,okay goodbye goodbye,4,15
Chandler,no,4,15
Chandler,janice there you are there you are i had to have one last kiss and,4,15
Chandler,well i then guess im going to yemen im going to yemen,4,15
Monica,all right the super couldnt figure out what it did a 200 an,4,15
Rachel,thank god,4,15
Monica,i guess joey was right it does nothing,4,15
Phoebe,see im doing it i am totally doing it suddenly it stops,4,15
Monica,what is it hon,4,16
Phoebe,ii cant find anything that i want to eat everything i eat makes,4,16
Monica,aww honey im sorry,4,16
Phoebe,god ooh what is that smell its coming from the bathroom ooh,4,16
Chandler,wow pregnancy does give you some weird cravings,4,16
Joey,yeah,4,16
Phoebe,its me its phoebe listen theres something in here i,4,16
Joey,is it the shampoo its guava,4,16
Phoebe,she smells his head no,4,16
Joey,oh waitwait reaches inside the shower is it my bologna sandwich,4,16
Phoebe,yes yes yes i cant believe it the baby wants bologna maybe he,4,16
Joey,oh waitwait reaches into the shower again maybe its a pickle,4,16
Chandler,what are you writing,4,16
Rachel,well joshuas coming in tomorrow and since i dont have the,4,16
Chandler,oh yeah he grabs the pad and starts reading it joshua give me a,4,16
Chandler,hi guys,4,16
Joey,hey what have you guys been up too,4,16
Ross,oh we went to see a collection of victorian doorknobs and the,4,16
Chandler,without me,4,16
Ross,yeah,4,16
Monica,i dont know how museums work in england but here youre not,4,16
Ross,bye they kiss,4,16
Joey,wow you guys seem to be having a good time,4,16
Ross,oh yeah shesshes amazing andand shes so much fun,4,16
